timestamp,city,temperature,description
2026-08-25T10:58:35.333Z,Oslo,21.42,few clouds
2026-08-25T13:05:42.203Z,Oslo,21.98,clear sky
2026-08-25T14:09:52.597Z,Oslo,23.64,scattered clouds
2026-08-25T14:54:09.769Z,Oslo,23.09,scattered clouds
2026-08-25T16:37:31.375Z,Oslo,24.75,scattered clouds
2026-08-25T18:39:24.104Z,Oslo,18.09,broken clouds
2026-08-25T20:29:10.753Z,Oslo,15.31,broken clouds
2026-08-25T22:27:33.033Z,Oslo,13.09,broken clouds
2026-08-26T01:18:36.220Z,Oslo,11.42,broken clouds
2026-08-26T03:05:14.678Z,Oslo,11.07,overcast clouds
2026-08-26T04:39:48.844Z,Oslo,11.71,overcast clouds
2026-08-26T06:50:12.854Z,Oslo,19.75,broken clouds
2026-08-26T08:43:09.438Z,Oslo,21.42,broken clouds
2026-08-26T10:35:25.540Z,Oslo,23.09,broken clouds
2026-08-26T12:52:13.145Z,Oslo,25.31,overcast clouds
2026-08-26T14:44:02.376Z,Oslo,24.75,overcast clouds
2026-08-26T16:48:22.008Z,Oslo,23.64,overcast clouds
2026-08-26T19:47:10.735Z,Oslo,16.98,broken clouds
2026-08-26T22:47:25.190Z,Oslo,14.97,overcast clouds
2026-08-27T07:53:11.629Z,Oslo,21.98,overcast clouds
2026-08-27T18:54:09.848Z,Oslo,16.98,overcast clouds
2026-08-28T04:04:24.045Z,Oslo,10.86,overcast clouds
2026-08-28T18:16:30.048Z,Oslo,15.31,heavy intensity rain
2026-08-29T02:44:03.309Z,Oslo,14.2,light rain
2026-08-29T10:51:44.045Z,Oslo,18.31,overcast clouds
2026-08-29T16:18:26.011Z,Oslo,18.31,overcast clouds
2026-08-29T20:30:06.309Z,Oslo,15.86,broken clouds
2026-08-29T23:55:07.253Z,Oslo,15.31,broken clouds
2026-08-30T04:01:09.416Z,Oslo,15.31,overcast clouds
2026-08-30T11:24:20.341Z,Oslo,21.09,overcast clouds
2026-08-30T16:10:53.595Z,Oslo,19.2,overcast clouds
2026-08-30T20:39:34.747Z,Oslo,16.42,overcast clouds
2026-08-31T00:13:52.261Z,Oslo,15.86,overcast clouds
2026-08-31T08:11:11.646Z,Oslo,18.31,broken clouds
2026-08-31T17:25:05.365Z,Oslo,18.64,overcast clouds
2026-08-31T22:34:19.076Z,Oslo,11.98,overcast clouds
